,2022-05-01 00:00:00,2022-05-02 00:00:00,2022-05-03 00:00:00,2022-05-04 00:00:00,2022-05-05 00:00:00,2022-05-06 00:00:00,2022-05-07 00:00:00,2022-05-08 00:00:00,2022-05-09 00:00:00,2022-05-10 00:00:00,2022-05-11 00:00:00,2022-05-12 00:00:00,2022-05-13 00:00:00,2022-05-14 00:00:00,2022-05-15 00:00:00,2022-05-16 00:00:00,2022-05-17 00:00:00,2022-05-18 00:00:00,2022-05-19 00:00:00,2022-05-20 00:00:00,2022-05-21 00:00:00,2022-05-22 00:00:00,2022-05-23 00:00:00,2022-05-24 00:00:00,2022-05-25 00:00:00,2022-05-26 00:00:00,2022-05-27 00:00:00,2022-05-28 00:00:00,2022-05-29 00:00:00,2022-05-30 00:00:00,2022-05-31 00:00:00
0,16698,16732,17371,20235,20410,18758,18360,16347,15933,18914,17758,17990,18227,19593,21227,16716,17474,17762,20329,19714,18346,17969,16992,20366,23016,22681,20020,18068,16788,16344,16819
1,15961,16661,16505,19657,19378,17661,17195,15806,15295,17770,17232,17549,17487,18575,20124,15817,16702,16990,19516,18849,17759,17100,16215,19614,21763,21437,19163,16989,16303,15810,15985
2,15293,16365,16142,19242,18665,17034,16614,15264,14698,16580,16676,16872,17011,17884,19301,15304,16264,16698,18560,17651,17251,16316,15773,19619,20734,20452,18593,15915,15649,15460,15710
3,15164,16235,16034,19142,18017,16672,16036,14952,14616,16762,16176,16504,16850,17681,18746,14995,15865,16711,17839,16682,17252,15901,15846,19384,20472,19711,18392,15700,15001,14828,15660
4,15290,16876,16412,19421,17869,16935,15929,14919,15131,17111,16662,16711,17277,17974,18350,15109,15980,17107,17752,16547,17675,15987,16240,19773,20884,19618,18596,15931,14929,14518,16191
5,15523,18076,17601,20282,18836,17992,16050,15190,16507,18469,18161,17982,18547,18277,18350,16152,16912,18235,18589,17112,18314,16315,17159,20913,21842,20698,19652,16266,15112,15246,17229
6,14735,18583,18225,20562,19580,18158,15022,14011,17081,18707,18533,18749,18297,16847,16310,16002,16546,18224,18154,16260,17073,14659,16804,20820,21428,20364,18843,15486,13632,14774,16448
7,9324,14317,13309,15422,15379,13679,10384,8560,12212,13817,13542,13923,13313,11328,11550,10986,11399,13709,13559,11516,11382,9233,12344,16035,16841,15910,14419,11178,9358,10275,11847
8,5556,9395,9174,9794,10535,8686,6686,5012,8108,8772,10431,9785,9809,8038,7525,6918,7336,10392,10667,9147,7860,6637,9715,11976,13057,12147,10631,6846,6477,8356,8766
9,3511,6933,7978,7227,8092,6483,4885,2324,6696,6633,8316,8324,8194,6636,5862,4961,5931,9296,8958,7588,6610,5167,8724,10105,11316,10354,9008,4381,5385,6388,7465
10,2893,5316,6622,6213,7024,5314,4086,976,5927,5499,7778,7537,7374,6156,5654,3531,4525,8021,7746,6062,5697,4114,7680,8627,10513,9417,7707,2743,4851,4676,6847
11,2328,4688,6010,5785,6788,4575,3413,416,5873,4535,6297,6783,6678,5642,5571,2840,3408,7394,6907,5054,4705,3025,6691,8426,10979,9121,6470,2345,4666,3227,6674
12,1679,4306,5621,5932,6091,4758,2477,922,5341,4552,5532,7130,6596,5887,5955,2816,3194,7588,6985,4616,4559,2918,6328,9010,11969,9124,5590,1960,3959,2754,6694
13,2013,3679,5737,6293,6088,5206,2291,862,4803,4088,5651,7318,6965,6857,6120,3284,3403,8439,7432,4408,4427,2925,6827,10146,13399,9607,5060,1869,4127,2770,7201
14,1822,3421,6130,7072,6874,4945,2045,1100,4503,3711,5255,7396,7592,7946,7368,3557,3405,9280,7622,4282,4358,3140,7127,11702,14981,10609,5544,1853,4419,2763,8122
15,2060,3893,6548,8330,7189,4995,2498,809,5147,3654,5286,7380,8744,9609,6839,4324,4579,9825,8021,4859,5197,4664,8314,13604,17075,11661,7006,2518,4497,2731,9456
16,3407,5422,8168,10256,8924,6020,3011,1375,5780,4832,6122,7707,9756,12063,8945,6119,6202,11320,9389,5782,6199,5711,10055,15996,18398,13718,9324,3303,4783,3753,11238
17,5766,8285,10438,13277,12862,9261,5698,4066,9080,6976,7352,8908,12380,15487,11475,9171,9023,14142,11872,8504,8256,8106,12833,18651,20089,15937,12722,6006,6989,6506,13572
18,11321,14826,17179,19631,19038,15549,12117,9942,12797,12817,12301,14535,18160,21303,16691,15324,15104,20039,17683,13904,12992,14117,18209,23575,25267,20200,17207,11242,10987,12036,18617
19,17719,21155,23186,25229,23490,21512,18029,16340,18824,19076,19717,21182,23933,26704,21238,21310,21503,25751,23603,20072,19671,20454,23936,29067,30342,24587,20903,17706,17452,19036,24712
20,19161,22998,24348,25835,24787,22948,19742,18894,21574,21413,22274,22605,25042,27430,22090,23118,22958,26652,25038,21947,21685,22124,25406,30420,30839,25715,22789,20146,19548,21572,26064
21,18846,22549,23760,25019,23934,22475,19523,18916,21921,21792,21863,22102,24653,26584,21254,22311,22442,25747,24716,21745,21764,21583,24985,29493,29719,25159,22559,20519,19493,22097,25581
22,18102,21421,22743,23563,22557,21380,18659,17777,21290,20329,20111,20860,23079,24926,19773,20708,20939,23848,23095,20588,20494,20167,23465,27411,27260,23541,21394,19521,18161,20665,23934
23,17011,19134,21438,21744,20966,19694,17090,16488,20014,18722,18719,19573,21171,22917,18052,18774,19029,21702,21231,19386,19068,18347,21720,25014,24639,21457,19421,18042,16796,18471,22230
