,prices,p,nom_total,d_tilde
0,0.02576471,0.0,38019.818222271446,35490.360286317504
1,0.02388076,0.0,37648.72893757265,35120.20370409006
2,0.02191809,0.0,37440.70243799056,34818.359810935195
3,0.01962237,0.0,36553.47253474434,34021.52887385407
4,0.01984479,0.0,36235.048760481535,33704.14702929618
5,0.02509045,0.0,36403.153742566654,33875.532260621425
6,0.02499305,0.0,36873.91251597983,34345.71728800574
7,0.02255181,0.0,37209.212807974014,34678.65487912236
8,0.01684952,0.0,37812.86374725074,35282.77923772907
9,0.01703261,0.0,38462.742578589794,35930.46916462111
10,0.01843098,0.0,40072.026193485,37542.566819696665
11,0.02396503,0.0,41439.37809501136,38909.13872848304
12,0.02598486,0.0,42051.30788743656,39520.71312396112
13,0.0307526,0.0,42291.13852206789,39763.16692850715
14,0.03409971,0.0,43452.173197391865,40921.36115064757
15,0.04265038,0.0,42813.602332193,40286.981861658256
16,0.0479632,0.0,42418.49484312724,39892.46685980848
17,0.0595037,0.0,42268.58241157948,39740.98212258847
18,0.0732513,0.0,42099.70250450049,39572.580307957796
19,0.11047397,0.0,41085.95158669644,38557.48145799134
20,0.07157856,0.0,40322.35406671409,37791.96245115105
21,0.04664244,0.0,39164.02745597343,36635.454831135205
22,0.03269036,0.0,38103.43883331995,35575.14801131788
23,0.02894639,0.0,37793.80641866793,35262.39720847807
